,Cases,Death,Date_year,Date_month,Date_day
232,135.0,2.0,2022,8,21
233,139.0,0.0,2022,8,22
234,153.0,0.0,2022,8,23
235,165.0,0.0,2022,8,24
236,180.0,0.0,2022,8,25
237,68.0,0.0,2022,8,26
238,131.0,0.0,2022,8,27
239,176.0,0.0,2022,8,28
240,201.0,1.0,2022,8,29
241,237.0,0.0,2022,8,30
242,251.0,1.0,2022,8,31
243,176.0,1.0,2022,9,1
244,90.0,0.0,2022,9,2
245,245.0,1.0,2022,9,3
246,213.0,0.0,2022,9,4
247,208.0,3.0,2022,9,5
248,284.0,5.0,2022,9,6
249,279.0,0.0,2022,9,7
250,275.0,0.0,2022,9,8
251,145.0,0.0,2022,9,9
252,294.0,1.0,2022,9,10
253,360.0,1.0,2022,9,11
254,345.0,4.0,2022,9,12
255,353.0,2.0,2022,9,13
256,389.0,0.0,2022,9,14
257,395.0,1.0,2022,9,15
258,164.0,2.0,2022,9,16
259,381.0,2.0,2022,9,17
260,399.0,1.0,2022,9,18
261,392.0,0.0,2022,9,19
262,438.0,0.0,2022,9,20
263,431.0,1.0,2022,9,21
264,437.0,2.0,2022,9,22
265,125.0,2.0,2022,9,23
266,440.0,0.0,2022,9,24
267,440.0,0.0,2022,9,25
268,482.0,3.0,2022,9,26
269,460.0,1.0,2022,9,27
270,524.0,1.0,2022,9,28
271,506.0,0.0,2022,9,29
272,240.0,0.0,2022,9,30
273,635.0,1.0,2022,10,1
274,568.0,2.0,2022,10,2
275,525.0,3.0,2022,10,3
276,482.0,0.0,2022,10,4
277,344.0,2.0,2022,10,5
278,637.0,0.0,2022,10,6
279,240.0,1.0,2022,10,7
280,712.0,3.0,2022,10,8
281,334.0,1.0,2022,10,9
282,624.0,2.0,2022,10,10
283,677.0,4.0,2022,10,11
284,647.0,1.0,2022,10,12
285,765.0,8.0,2022,10,13
286,310.0,0.0,2022,10,14
287,734.0,6.0,2022,10,15
288,855.0,5.0,2022,10,16
289,857.0,2.0,2022,10,17
290,900.0,3.0,2022,10,18
291,864.0,7.0,2022,10,19
292,896.0,4.0,2022,10,20
293,409.0,0.0,2022,10,21
294,922.0,2.0,2022,10,22
295,1034.0,1.0,2022,10,23
296,903.0,5.0,2022,10,24
297,750.0,0.0,2022,10,25
298,923.0,2.0,2022,10,26
299,899.0,3.0,2022,10,27
300,440.0,5.0,2022,10,28
301,869.0,6.0,2022,10,29
302,1020.0,2.0,2022,10,30
303,873.0,5.0,2022,10,31
304,983.0,7.0,2022,11,1
305,1094.0,4.0,2022,11,2
306,882.0,9.0,2022,11,3
307,428.0,1.0,2022,11,4
308,788.0,5.0,2022,11,5
309,908.0,3.0,2022,11,6
310,875.0,7.0,2022,11,7
311,820.0,5.0,2022,11,8
312,796.0,5.0,2022,11,9
313,888.0,5.0,2022,11,10
314,266.0,1.0,2022,11,11
315,918.0,6.0,2022,11,12
316,859.0,3.0,2022,11,13
317,760.0,3.0,2022,11,14
318,629.0,8.0,2022,11,15
319,675.0,3.0,2022,11,16
320,685.0,1.0,2022,11,17
321,250.0,3.0,2022,11,18
322,559.0,6.0,2022,11,19
323,646.0,4.0,2022,11,20
324,606.0,4.0,2022,11,21
325,515.0,3.0,2022,11,22
326,477.0,3.0,2022,11,23
327,519.0,1.0,2022,11,24
328,221.0,1.0,2022,11,25
329,462.0,2.0,2022,11,26
330,523.0,3.0,2022,11,27
331,366.0,0.0,2022,11,28
332,436.0,3.0,2022,11,29
333,426.0,4.0,2022,11,30
334,380.0,0.0,2022,12,1
335,120.0,0.0,2022,12,2
336,351.0,0.0,2022,12,3
337,410.0,3.0,2022,12,4
338,308.0,0.0,2022,12,5
339,269.0,1.0,2022,12,6
340,253.0,2.0,2022,12,7
341,246.0,3.0,2022,12,8
342,118.0,0.0,2022,12,9
343,265.0,3.0,2022,12,10
344,220.0,0.0,2022,12,11
345,224.0,0.0,2022,12,12
346,220.0,1.0,2022,12,13
347,184.0,0.0,2022,12,14
348,163.0,2.0,2022,12,15
349,49.0,0.0,2022,12,16
350,125.0,2.0,2022,12,17
351,145.0,0.0,2022,12,18
352,113.0,0.0,2022,12,19
353,108.0,1.0,2022,12,20
354,126.0,1.0,2022,12,21
355,89.0,1.0,2022,12,22
356,39.0,0.0,2022,12,23
357,89.0,2.0,2022,12,24
358,49.0,0.0,2022,12,25
359,106.0,2.0,2022,12,26
360,62.0,3.0,2022,12,27
361,67.0,0.0,2022,12,28
362,65.0,0.0,2022,12,29
363,14.0,0.0,2022,12,30
364,47.0,0.0,2022,12,31
365,41.0,0.0,2023,1,1
366,38.0,0.0,2023,1,2
367,48.0,0.0,2023,1,3
368,49.0,0.0,2023,1,4
369,31.0,0.0,2023,1,5
370,8.0,0.0,2023,1,6
371,27.0,0.0,2023,1,7
372,27.0,0.0,2023,1,8
373,20.0,1.0,2023,1,9
374,32.0,0.0,2023,1,10
375,,,2023,1,11
376,18.0,0.0,2023,1,12
377,10.0,1.0,2023,1,13
378,7.0,0.0,2023,1,14
379,22.0,1.0,2023,1,15
